Year,Nodes,Edges,UnifiedDegreeCentralisation
1995,3,0,0.0
1996,3,0,0.0
1997,3,0,0.0
1998,3,0,0.0
1999,3,0,0.0
2000,4,0,0.0
2001,5,0,0.0
2002,6,0,0.0
2003,6,0,0.0
2004,6,0,0.0
2005,7,0,0.0
2006,9,0,0.0
2007,13,0,0.0
2008,14,0,0.0
2009,17,1,0.05859375
2010,20,3,0.09418282548476455
2011,24,4,0.12098298676748583
2012,30,5,0.09512485136741974
2013,36,5,0.08
2014,41,5,0.070625
2015,47,8,0.05907372400756144
2016,48,8,0.057944771389769126
2017,49,8,0.05685763888888889
2018,52,9,0.0530565167243368
2019,56,14,0.06479338842975206
2020,62,32,0.11609782316581564
2021,71,61,0.13448979591836735
2022,84,91,0.14428799535491363
2023,99,132,0.17867555185339443
2024,112,176,0.19868517165814464
