Source,Target,Type,Weight,Year
101,100,Directed,1,2023
101,69,Directed,1,2023
101,91,Directed,1,2023
103,79,Directed,1,2023
104,52,Directed,1,2023
104,53,Directed,1,2023
104,62,Directed,1,2023
104,66,Directed,1,2023
104,71,Directed,1,2023
104,98,Directed,1,2023
105,104,Directed,1,2024
105,53,Directed,1,2024
105,66,Directed,1,2024
105,71,Directed,1,2024
106,105,Directed,1,2024
107,98,Directed,1,2023
111,103,Directed,1,2024
111,116,Directed,1,2024
111,51,Directed,1,2024
111,52,Directed,1,2024
111,53,Directed,1,2024
111,62,Directed,1,2024
111,79,Directed,1,2024
113,11,Directed,1,2023
113,64,Directed,1,2023
113,79,Directed,1,2023
115,50,Directed,1,2022
115,51,Directed,1,2022
115,53,Directed,1,2022
115,62,Directed,1,2022
115,67,Directed,1,2022
115,68,Directed,1,2022
116,104,Directed,1,2024
116,115,Directed,1,2024
116,51,Directed,1,2024
116,53,Directed,1,2024
116,59,Directed,1,2024
116,62,Directed,1,2024
116,68,Directed,1,2024
116,79,Directed,1,2024
14,11,Directed,1,2010
14,18,Directed,1,2010
16,11,Directed,1,2009
21,14,Directed,1,2011
30,29,Directed,1,2012
40,39,Directed,1,2015
42,43,Directed,1,2015
44,42,Directed,1,2015
51,11,Directed,1,2019
51,14,Directed,1,2019
51,49,Directed,1,2019
52,51,Directed,1,2020
53,49,Directed,1,2020
53,52,Directed,1,2020
54,44,Directed,1,2019
54,48,Directed,1,2019
55,20,Directed,1,2018
58,50,Directed,1,2021
58,52,Directed,1,2021
58,53,Directed,1,2021
58,54,Directed,1,2021
58,66,Directed,1,2021
58,97,Directed,1,2021
59,53,Directed,1,2022
59,64,Directed,1,2022
60,111,Directed,1,2024
60,62,Directed,1,2024
60,78,Directed,1,2024
60,79,Directed,1,2024
61,53,Directed,1,2021
62,51,Directed,1,2021
62,52,Directed,1,2021
62,53,Directed,1,2021
62,54,Directed,1,2021
62,61,Directed,1,2021
62,64,Directed,1,2021
62,65,Directed,1,2021
62,66,Directed,1,2021
62,67,Directed,1,2021
63,62,Directed,1,2022
64,49,Directed,1,2021
64,51,Directed,1,2021
64,52,Directed,1,2021
64,53,Directed,1,2021
64,54,Directed,1,2021
64,66,Directed,1,2021
64,68,Directed,1,2021
65,51,Directed,1,2020
65,52,Directed,1,2020
66,51,Directed,1,2020
66,52,Directed,1,2020
66,54,Directed,1,2020
66,65,Directed,1,2020
67,51,Directed,1,2020
67,52,Directed,1,2020
68,51,Directed,1,2021
68,52,Directed,1,2021
68,67,Directed,1,2021
70,104,Directed,1,2024
70,105,Directed,1,2024
70,115,Directed,1,2024
70,116,Directed,1,2024
71,52,Directed,1,2022
71,53,Directed,1,2022
71,66,Directed,1,2022
71,98,Directed,1,2022
73,53,Directed,1,2021
74,53,Directed,1,2021
74,73,Directed,1,2021
76,58,Directed,1,2022
79,115,Directed,1,2022
79,51,Directed,1,2022
79,52,Directed,1,2022
79,53,Directed,1,2022
79,62,Directed,1,2022
79,66,Directed,1,2022
79,72,Directed,1,2022
80,55,Directed,1,2022
81,53,Directed,1,2023
81,98,Directed,1,2023
82,81,Directed,1,2024
84,52,Directed,1,2023
84,53,Directed,1,2023
84,59,Directed,1,2023
84,71,Directed,1,2023
84,98,Directed,1,2023
85,53,Directed,1,2023
85,54,Directed,1,2023
85,67,Directed,1,2023
86,104,Directed,1,2023
86,51,Directed,1,2023
86,52,Directed,1,2023
86,53,Directed,1,2023
86,58,Directed,1,2023
86,76,Directed,1,2023
86,79,Directed,1,2023
86,97,Directed,1,2023
86,98,Directed,1,2023
87,79,Directed,1,2023
88,104,Directed,1,2023
88,115,Directed,1,2023
88,53,Directed,1,2023
88,67,Directed,1,2023
88,68,Directed,1,2023
89,11,Directed,1,2024
89,67,Directed,1,2024
90,51,Directed,1,2024
90,53,Directed,1,2024
90,79,Directed,1,2024
90,97,Directed,1,2024
90,98,Directed,1,2024
90,99,Directed,1,2024
92,93,Directed,1,2023
93,91,Directed,1,2023
97,50,Directed,1,2020
97,51,Directed,1,2020
97,52,Directed,1,2020
97,53,Directed,1,2020
97,54,Directed,1,2020
97,66,Directed,1,2020
97,67,Directed,1,2020
98,50,Directed,1,2022
98,51,Directed,1,2022
98,52,Directed,1,2022
98,53,Directed,1,2022
98,54,Directed,1,2022
98,58,Directed,1,2022
98,66,Directed,1,2022
98,97,Directed,1,2022
99,107,Directed,1,2024
99,53,Directed,1,2024
99,54,Directed,1,2024
99,58,Directed,1,2024
99,71,Directed,1,2024
99,97,Directed,1,2024
99,98,Directed,1,2024
